Constantin Chiriţă,,,,,,,,,,,,,,
"— Aşa, hoţomanule! Cred c-am nimerit-o cu metoda asta.",,,,,,,,,,,,,,
Nu se poate să nu se prindă la fete. Va să zică ne-am înţeles. Dar bagă de seamă. Să nu cumva să sufli vreun scâncet…,,,,,,,,,,,,,,
"Căţelul sări brusc în picioare, îşi înţepeni urechile, şi, cum stătea cu botul întors şi cu ochii răvăşiţi, părea cea mai ofensată fiinţă de pe faţa pământului.",,,,,,,,,,,,,,
"— Ei, lasă, n-o mai pune şi tu la inimă. Parcă nu ştii c-am glumit?… Mi te cunosc eu, domnule sfetnic… Gata cu glumele! La acţiune!",,,,,,,,,,,,,,
"Tiptil, tiptil, fără să facă vreun zgomot, urmat de credinciosul lui sfetnic, Tic se furişă pe cerdacul acoperit de iederă. La capătul celălalt al cerdacului, pe un şezlong întins la orizontală, sub bătaia mişcătoare a unor proiectile de lumină scăpate prin frunziş, se odihnea Maria. Îşi acoperise ochii cu cozile şi visa. În mâna ei, un caiet cu versuri îşi deschidea paginile. Una dintre poezii o însoţea, sau îi prilejuise călătoria imaginară în care plecase:",,,,,,,,,,,,,,
"Iubesc cu-atâta patimă stejarii cu coapsele-mplântate în pământuri, Când îşi încarcă braţele de soare sau când se-ncruntă seculari în vânturi, Iubesc pădurea-naltă de mesteceni când zăbreleşte-n alb sfios azurul.",,,,,,,,,,,,,,
"Ah, vânt albastru, vino să mă legeni şi dăruieşte-mi vesel împrejurul…",,,,,,,,,,,,,,
"Inspiraţia, sau poate sarcina de a ataca primul, o avu Ţombi. Se aşeză foarte tăcut alături de Maria, îşi lipi botul de labe, iar ochii i se aţintiră asupra versurilor. Primul gest al Mariei fu acela de a-l alunga, dar când îi desluşi expresia de inteligenţă şi parcă de înţelegere, începu să-i mângâie, blând, căpşorul pătat de buline negre. Cu o voce caldă, visătoare, ea recită primele versuri ale poeziei.",,,,,,,,,,,,,,
"Cocoţat pe cerdac, dar parcă înfipt într-o ţeapă, atât de nerăbdător era, Tic suportă cu greu poezia. Avu totuşi puterea de a o asculta până la capăt.",,,,,,,,,,,,,,
"Simţindu-şi stăpânul în apropiere, pentru că tot scăpase Tic câteva icneli şi oftaturi, căţelul întoarse capul, dar la semnele poruncitoare ale celui descoperit şi-l aşeză iarăşi pe lăbuţele-i subţiri. Un oftat prelungit, un oftat de admiraţie şi parcă de invidie, ieşi foarte gradat şi nuanţat din pieptul lui Tic:",,,,,,,,,,,,,,
"— Oooofff!… Ştii ce frumos spui tu poeziile, Maria…",,,,,,,,,,,,,,
"Surprinsă nu atât de apariţia neaşteptată a frăţiorului ei, cât de tonul neobişnuit cu care-i vorbise, Maria îl privi îndelung şi iscoditor.",,,,,,,,,,,,,,
"— Zău, Maria… Continuă Tic. Parcă m-ai umplut de furnici. Ai o voce atât de frumoasă!… Nu-i aşa că o să te faci artistă?",,,,,,,,,,,,,,
"— Ticuşor! Ia spune, de fapt ce vrei!",,,,,,,,,,,,,,
— Aş vrea să mă iubeşti!,,,,,,,,,,,,,,
— Asta-i bună! Dar cine ţi-a spus că nu te mai iubesc?,,,,,,,,,,,,,,
"— Vreau să mă iubeşti mult, muuuult. Atât de mult, încât să nu te mai desparţi niciodată de mine.",,,,,,,,,,,,,,
Maria îl privi plină de duioşie:,,,,,,,,,,,,,,
"— Păi te iubesc, nesuferitule. Dar cine ţi-a spus c-o să ne despărţim?",,,,,,,,,,,,,,
"— Las' că ştiu eu, se bosumflă Tic. Parcă văd c-o să petreci vacanţa fără mine.",,,,,,,,,,,,,,
"Unda de duioşie dispăru din privirile Mariei făcând loc unor luciri de neîncredere, de suspiciune şi uimire. Tot ce spunea Tic nu se potrivea cu felul lui de a fi. Şi în minţea ei se înfiripă o idee:",,,,,,,,,,,,,,
"— Daaaaa…?! Tic! Dacă eşti cuminte, mergem împreună… la ţară, la bunica.",,,,,,,,,,,,,,
— La bunica?! Spuse cu dispreţ prichindelul. Mare scofală! La bunica pot să merg şi singur…,,,,,,,,,,,,,,
— Atunci cum rămâne cu declaraţia ta de dragoste? Parcă spuneai că nu vrei să ne despărţim nici o clipă…,,,,,,,,,,,,,,
Dar şi în mintea lui Tic se aprinse o idee care îl scoase din impas:,,,,,,,,,,,,,,
"— Dacă mă duc singur la bunica, o să mi se facă şi mai mare dor de tine… Tu ai crezut altceva?",,,,,,,,,,,,,,
Maria clătină gânditoare din cap:,,,,,,,,,,,,,,
"— Tic, tu ştiai că eşti un băiat deştept?",,,,,,,,,,,,,,
— Ehei! De muuuuult timp…,,,,,,,,,,,,,,
"— Să-ţi spun drept, acum nu te mai iubesc chiar atât de mult, îi mărturisi Maria. Dar voi aplica şi eu metoda ta, şi mă voi duce pentru câteva zile undeva. Şi-o să mi se facă un dor de tine…!",,,,,,,,,,,,,,
"— Ia-mă şi pe mine, Maria… Te rog…",,,,,,,,,,,,,,
"— Păi atunci ar însemna că nu te iubesc foarte mult, şi că nici nu vreau să te iubesc foarte mult… După principiul tău…",,,,,,,,,,,,,,
"— Ei, şi! Se avântă Tic. Dacă mă iei e totuna.",,,,,,,,,,,,,,
"— Stai, că nu te mai înţeleg, Ticuşor. La început spuneai că vrei să te iubesc, nu?",,,,,,,,,,,,,,
— Vreau să mă iei cu tine!,,,,,,,,,,,,,,
"— Chiar că nu te mai înţeleg deloc, îl zgândări Maria.",,,,,,,,,,,,,,
— Spune! Mă iei sau nu?,,,,,,,,,,,,,,
— Tic! Te rog foarte mult să mă crezi. Nu te iau cu mine pentru că te iubesc totuşi foarte mult.,,,,,,,,,,,,,,
"Maria era într-adevăr înduioşată. Fantezia ei descoperea tot felul de ameninţări şi primejdii în calea expediţiei, şi nu putea să şi-l închipuie pe frăţiorul ei drag înfruntându-le.",,,,,,,,,,,,,,
"— Tic! O să petrecem toată vacanţa împreună, îţi spun din tot sufletul. Numai câteva zile, la început…",,,,,,,,,,,,,,
— Vreau să ştiu sigur: Mă iei?,,,,,,,,,,,,,,
— Dar de ce vrei să fii atât de sigur?,,,,,,,,,,,,,,
— Spune! Se învolbură prichindelul. Mă iei sau nu?,,,,,,,,,,,,,,
— Nu!,,,,,,,,,,,,,,
— Sigur?,,,,,,,,,,,,,,
— Sigur!,,,,,,,,,,,,,,
Tic îşi strânse dinţii într-o ameninţare teribilă:,,,,,,,,,,,,,,
"— Hai, Ţângulică! Ne pierdem timpul degeaba cu răutăcioasa asta. Nu eşti soră, eşti o… eşti o cloanţă!",,,,,,,,,,,,,,
— Tic!,,,,,,,,,,,,,,
"— Şi dacă vrei să ştii, habar n-ai să spui poezii.",,,,,,,,,,,,,,
"Supunându-se spiritului practic care domnea în el, Tic nu se tângui prea multă vreme pentru înfrângerea suferită. Se răsti de câteva opri la Ţângulică, transformându-l în jigodie, javră şi cauză principală a eşecului, apoi se hotărî să-şi încerce norocul cu celălalt iepure, adică să plece în lume, ca într-un basm, în căutarea unui basm. Ca într-un basm, pentru că-i rămăsese prea puţin timp până a doua zi, când voia să se înfăţişeze cu basmul, şi umblând aievea, ca tot omul, nu prea vedea el cum şi unde va găsi cartea cu poveşti. Era deci nevoit să renunţe la dezlegarea tainei cireşarilor… Până a doua zi, când trebuia neapărat să-i vină de hac.",,,,,,,,,,,,,,
"Împovărat sau uşurat de aceste gânduri, se pomeni în faţa porţii. Spre surprinderea lui, poarta se deschise înainte ca s-o atingă el cu mâna… Aşa că abia avu vreme să se ascundă după un pom salvator. Cu foarte mare părere de rău se văzu nevoit să facă din nou schimb de iepuri, adică să revină asupra hotărârii luate, deoarece pe poartă intraseră, cu gesturi misterioase, trei dintre cireşari: Victor, Dan şi Ursu. Să-şi fi continuat acum fuga după iepurele cu basmul, ar fi însemnat să dea cu piciorul norocului, şi Tic, renumit pentru iuţeala cu care primea orice provocare şi orice ceartă, nu voia, în ruptul capului, să-şi facă din noroc un duşman. Practic, ca întotdeauna, îşi găsi imediat ceva de lucru prin curte, spre bucuria nestăpânită a lui Ţombi.",,,,,,,,,,,,,,
Maria ieşi nerăbdătoare înaintea băieţilor:,,,,,,,,,,,,,,
— Aţi găsit vreun şantier?,,,,,,,,,,,,,,
"Dan, care părea cel mai abătut dintre toţi, răspunse sec, monosilabic:",,,,,,,,,,,,,,
— Nu!,,,,,,,,,,,,,,
"— Şi nu prea văd unde am putea găsi, reflectă Victor. Cine să aibă barcă în oraş? Şi pentru ce să aibă?",,,,,,,,,,,,,,
"— Ghinionul nostru că ne-am născut aici, se înfurie Dan. Auzi, dom'le! Cine a avut oare ideea să întemeieze oraşul ăsta pe marginea unui pârâiaş lat cât o curea de ham şi adânc cât un degetar?… Eu, dac-aş avea putere, l-aş muta pe malul mării, să mă satur de apă, de bărci şi de vapoare.",,,,,,,,,,,,,,
"— Eu m-aş mulţumi cu o putere mai mică, îl temperă Maria. Să pot face rost de o barcă. O barcă uşoară cu pânze, sau una mică, zvealtă, cu motor, sau…",,,,,,,,,,,,,,
"Privirile Mariei se aţintiră involuntar asupra cişmelei şi vorbele i se topiră deodată pe buze. Acolo, la marginea unei băltoace, Tic, într-o vervă neobişnuită, arunca în apă corăbii după corăbii. Cel puţin zece bărci de hârtie pluteau în băltoacă.",,,,,,,,,,,,,,
"— Sau o barcă de hârtie, completă Dan. După cum vedeţi, e singurul lucru care stă în puterea noastră. Mamă dragă, suntem osândiţi la drumuri grele… Şi mai ales la neputinţă.",,,,,,,,,,,,,,
"— Nu-i chiar aşa, interveni Victor. Problema nu-i insolubilă, cum ţi se pare ţie, Dan. Ar fi fost simplu, de pildă, să construim o plută. Nu ştiu dacă până la urmă nu vom rămâne la soluţia asta…",,,,,,,,,,,,,,
"— Păi de ce nu începem s-o construim? Se repezi Ursu. Materiale, slavă Domnului, avem destule.",,,,,,,,,,,,,,
— Dacă te încumeţi s-o duci tu în spate până acolo… Râse Victor.,,,,,,,,,,,,,,
"Ursu era cât pe-aci să răspundă că ar fi gata să care două plute în spate, numai să reuşească expediţia, dar nu-i prea plăceau figurile de stil.",,,,,,,,,,,,,,
"— Dar tu, Victor, cum te gândeşti s-o transportăm? Întrebă Maria.",,,,,,,,,,,,,,
— Cât se poate de simplu. În rucsacuri.,,,,,,,,,,,,,,
"— Arată-mi-o şi pe asta, mamă dragă, şi zău că mă fac gâscă, îl înfruntă Dan.",,,,,,,,,,,,,,
"— Vrei să spui gânsac, îl corija Maria.",,,,,,,,,,,,,,
"— Mă rog, gâscă, gân-sac, raţă, tot ce vrei. Şi coteţ de păsări, dacă e nevoie. Ca să mă jumuliţi de scânduri…",,,,,,,,,,,,,,
"— Uite, dragă domnule palmiped, cum se poate transporta pluta, începu Victor să-l lămurească. Vom lua în rucsac: cuie, ciocane, cherpedine, funii, scoabe…",,,,,,,,,,,,,,
"— Scânduri, leaturi, pari, bârne, adăugă Dan.",,,,,,,,,,,,,,
"— Nu! Îl opri Victor. N-avem nevoie să le luăm cu noi. Lemne vom găsi din belşug pe munte, ori poate ai uitat că munţii… Cum se spunea în poezia aia, Maria?",,,,,,,,,,,,,,
Maria răspunse imediat:,,,,,,,,,,,,,,
— Îşi potrivesc pe ceafă cuşme de păduri…,,,,,,,,,,,,,,
"— Da, zâmbi Victor. Cuşme cu lemne…",,,,,,,,,,,,,,
"Dan, Maria, Ursu şi chiar Tic, care trăgea fidel cu urechea, înţeleseră planul de compromis al lui Victor.",,,,,,,,,,,,,,
"— Păi atunci problema e ca şi rezolvată, spuse Maria.",,,,,,,,,,,,,,
"— Nu-i chiar aşa, chibzui Victor cu voce tare. Pluta are marile ei neajunsuri. Pe un lac, pe un râu mare, pentru o persoană, două, e de mare folos. Dar acolo…",,,,,,,,,,,,,,
"— Stai! Ţipă Dan. Am găsit, mamă dragă!",,,,,,,,,,,,,,
"Surprinşi de energia şi decizia cu care intervenise, băieţii, mai ales, erau gata să tabere asupra lui Dan pentru a-i smulge cuvintele care se lăsau prea aşteptate, dar el se chinuia prin tot felul de semne şi schimonoseli să-i facă pe ceilalţi să înţeleagă că nu descoperise nimic altceva decât urechile ciulite ale lui Tic, care tot jucându-se cu căţelul se apropiase la câţiva paşi de ei, bineînţeles ascunzându-se cu artă după un butoi oarecare.",,,,,,,,,,,,,,
— Tic! Îl strigă Dan. Tot mai ai nevoie de basme?,,,,,,,,,,,,,,
"Prichindelul, preocupat să numere cele câteva fire care alcătuiau mustăţile căţelului, nu auzi chemarea lui Dan, decât doar a treia oară.",,,,,,,,,,,,,,
— Pe mine mă strigai? Întrebă el mirat.,,,,,,,,,,,,,,
"— Dar ce, mai are cineva numele ăsta aici?",,,,,,,,,,,,,,
"— Dar ce, tu când spui „mamă dragă” îţi chemi neapărat mama? Îi ripostă fără ezitare Tic.",,,,,,,,,,,,,,
"Dan rămase cu gura căscată, ca şi ceilalţi dealtfel, nu atât pentru spiritul prichindelului, cât pentru ceea ce se subînţelegea din acel spirit. Va să zică, Tic înregistrase absolut tot ce vorbiseră ei. Nu-i scăpase nimic, nici măcar expresiile fiecăruia. Prin urmare, trebuia salvat ceea ce mai putea fi salvat.",,,,,,,,,,,,,,
— Tic! Se bucură Dan. Ţi-am găsit basmul!,,,,,,,,,,,,,,
"— Crezi că eu nu-mi dau seama, îi răspunse puştiul.",,,,,,,,,,,,,,
"— Nu, mă, serios. Ştiu pe cineva de la care poţi afla un basm pe cinste.",,,,,,,,,,,,,,
"— Las' că pricep eu unde vrei să baţi, spuse Tic.",,,,,,,,,,,,,,
"— Pe cuvântul meu, Ticuşor! Se încăpăţână Dan. Ai încercat la moş Timofte? E cel mai mare povestitor de basme din oraş, dacă nu din toată ţara…",,,,,,,,,,,,,,
"Ciufuliciul se pocni, fără voia lui, peste frunte. Gest pe jumătate sincer. E adevărat că nu se gândise la moş Timofte, şi era limpede că Dan nu inventase totul. Dar tot atât de adevărat era faptul că nu-i mai putea spiona pe cireşari fără să fie simţit. Aşa că trebuia iarăşi să schimbe iepurii, dar pentru ultima oară… Hotărî el… Până mâine dimineaţă. Cu această credinţă porni Tic spre poartă, dar nu înainte de a-i adresa câteva vorbuliţe lui Dan:",,,,,,,,,,,,,,
"— Să nu-ţi închipui cumva că m-ai dus, mamă dragă. Ce râzi ca un prost? Află că moş Timofte e mai interesant decât voi toţi la un loc. Brrrrr!",,,,,,,,,,,,,,
"Dar şi de data asta poarta se deschise fără ca Tic s-o atingă. Chiar în clipa când ducea mâinile spre clanţă, ca şi prima oară, poarta se dădu în lături. Tic se retrase câţiva paşi şi începu să privească ostentativ cerul. Prin faţa lui treceau Ionel şi Lucia, sau mai bine zis pluteau nişte pachete uriaşe sub care se aflau Ionel şi Lucia. Şi cum Tic era un copil practic… de astă dată ieşi într-adevăr pe poartă, fără măcar să apeleze la coada ochiului.",,,,,,,,,,,,,,
"În sfârşit, cireşarii erau toţi la un loc. Nu lipsea nimeni, şi, ceea ce era mai important, nu se afla nici un spion prin apropiere, nici un nechemat care ar fi putut să le dibuie tainele. E adevărat că Ţângulică le dădea mereu târcoale, dar se purta atât de cuminte, atât de linguşitor şi inofensiv, că nici Lucia, cea mai bănuitoare şi mai prudentă dintre toţi, nu-i acordă decât o privire trecătoare. Singurul care se ferea de dânsul era Ionel, dar nu teama că i-ar putea înţelege vorbele era cauza, ci grija pentru securitatea gambelor proprii.",,,,,,,,,,,,,,
"Povestea cu barca imaterială îi necăjise şi încă necăjea pe cireşari, dar pe cerul întunecat al preocupărilor lor apăru o oază de lumină o dată cu sosirea ultimilor doi: Lucia şi Ionel. Amândoi erau veseli, adevăraţi mesageri ai bunei dispoziţii. Lucia îşi uitase undeva masca de seriozitate, şi chipul ei blond era atât de senin, încât Dan o asemănă imediat cu un înger, jurând, tot în sinea lui, că niciodată n-o văzuse mai frumoasă. Era cât pe-aci să-şi jure şi altceva, un jurământ tainic care se rosteşte numai în gând, dar amintindu-şi-o severă, distantă şi rece, aşa cum o suporta tot anul şcolar, renunţă vesel şi uşurat la jurământ. Ionel se umflase în pene ca un curcan şi ar fi imitat şi mersul rotit al orătăniei cu mărgele, dacă nu l-ar fi simţit pe Ţângulică prin apropiere. De aceea îşi alese o atitudine nemişcată şi verticală, cu destinaţia nemărturisită: steaua polară. Îşi privea prietenii de la nişte înălţimi la care nu cutezau nici cei mai viteji cosmonauţi.",,,,,,,,,,,,,,
"Veselia celor doi cireşari: seninătatea Luciei şi saltul spre stele al lui Ionel nu erau nici prefăcătorie şi nici poze fără motiv. La drept vorbind, Ionel era eroul zilei, deşi Maria susţinea morţiş, în felul ei, că Lucia „avea exact acelaşi drept la slavă”. Amândoi tinerii izbutiseră, după aproape trei luni de îndrăzneli, încercări, eşecuri şi reuşite, după „atâta sudoare extraşcolară”, cum glumea Dan, să construiască două aparate T. F. F., simple, portabile, pentru comunicări la mică distanţă, absolut necesare expediţiei. Fără aceste aparate expediţia cireşarilor era de neconceput. Dar ele ar fi rămas o simplă intenţie, dacă tinerii nu ar fi găsit un susţinător înfocat şi foarte generos în persoana lui moş Timofte. Deşi nu-l avea întru totul la inimă pe Ionel, bătrânul paznic nu scăpase nici un prilej de a-i ajuta pe cireşari; le descuiase de zeci de ori, ca un complice mut, uşa laboratorului de fizică, făcuse întotdeauna ordine după ei, dar mai ales le adusese celor doi constructori tot felul de unelte şi de materiale uitate de-a lungul anilor prin magaziile liceului.",,,,,,,,,,,,,,
"Copleşiţi de bunătatea lui, cireşarii îşi propuseseră în gând să-i facă un dar mare cu care să-l dea gata. Moşneagul mirosise ceva şi prin câteva întrebări meşteşugite aflase, de la Ursu, intenţia lor. E de prisos să amintim aici mâhnirea şi amărăciunea lui moş Timofte. Ba în adâncul sufletului se simţea jignit. Chipul lui nu-şi recăpătase strălucirea aceea de zăpadă, care aduna atâta cinste şi dragoste în preajmă-i, decât după ce-i strânsese pe toţi cireşarii în grădina şcolii, într-o seară, după amurg, şi le vorbise pe îndelete:",,,,,,,,,,,,,,
"— Eu n-am copii, începuse dânsul, iar nepoţii mi s-au împărţit prin toată ţara şi le-am cam pierdut urma. Singura mea bucurie sunteţi voi şi ceilalţi ca voi. Nici nu vă puteţi închipui cum îmi creşte inima când dau peste şcolari care înţeleg de timpuriu ce hrană trebuincioasă e pentru om învăţătura. Iacă, eu spun că de aici începe bogăţia ţării şi bogăţia lumii… Şi mi s-a întâmplat mie să întâlnesc mereu asemenea şcolari şi să-i simt ca pe copiii mei. Cum m-or fi simţit ei?… Apoi aici nu-şi mai au rost vorbele mele, dar în dulapul ăsta sunt o groază de scrisori primite de la ei. Dacă aud că vreunul dintre ei a ajuns om mare, mă bucur cum se bucură, pesemne, un tată când aude isprăvi bune despre fiul lui. Poate că o să pară laudă ceea ce spun, dar nu e an în care să nu vină să mă vadă oameni de seamă, dintre cei cu care se sfătuiesc capii ţării. Nu zic că vin pentru mine. Vin să-şi vadă şcoala, dascălii, locurile copilăriei, dar niciunul, până acum, n-a uitat să treacă şi pe la mine, să zăbovească puţintel şi în ghereta mea, sau să dea o raită cu mine prin curtea şi grădina şcolii… Iacă, asta e o parte din viaţa mea, partea cea mai sfântă… Oricât aur mi s-ar da, eu nu l-aş primi în schimbul unor asemenea bucurii. Să fiţi voi sănătoşi şi să nu-l uitaţi pe moş Timofte. Altceva nu-mi trebuie. Poate… Cine ştie?… O da Dumnezeu ş-oi apuca anii când o să fiţi şi voi oameni în toată firea, cu nume şi fapte de seamă. Moş Timofte o să fie bătrân, dar o să ţină minte numele fiecăruia, şi dacă o să treceţi pe la el şi o să daţi împreună o raită prin curtea şcolii, o să vă amintească toate năzbâtiile pe care le-aţi făcut în anii aceştia…",,,,,,,,,,,,,,
"În faţa cerdacului, pe o masă de lemn cu picioarele în formă de x împlântate în pământ, se aflau cele două aparate, şi cu toate că şlefuiala dârză şi zeloasă nu îndepărtase toate urmele de vechime şi de rugină de pe piese, cireşarii le priveau înfioraţi şi mândri ca pe nişte comori nepreţuite. Numai Ţombi părăsi cât se poate de discret locul său de pândă de pe cerdac, furişându-se ca o umbră neînsemnată şi obosită, dar în clipa când ajunse în punctul unde, după socoteala lui, nu putea fi zărit de cei care-i ignoraseră blana, preferând scândura putredă şi fierul vechi, ţâşni ca o nălucă. Îşi opri goana undeva lângă gard, în dreptul unei spărturi ascunse pe care, în afară de el, o mai cunoştea o singură fiinţă domestică. Când văzu acea fiinţă strecurându-se prin spărtură cu o agilitate care o întrecea pe a lui, Ţombi îşi învinse invidia, aspiră o porţie de îndrăzneală şi făcu un salt mortal înapoi. Totul însă într-o tăcere desăvârşită. Deşi foarte zorit de uimirea statuară a tinerilor de lângă cerdac, Tic nu uită totuşi să strângă lăbuţa pe care i-o întindea căţelul şi apoi să-i frece cu blândeţe sfârcurile urechilor. Abia după ce termină ritualul de multă vreme convenit, prichindelul porni cu paşi înceţi spre ţinta pe care şi-o alesese încă de după gard: butoiul din apropierea cerdacului. Căţelul îl urmă în culmea fericirii: stăpânul său fusese foarte generos, pentru că de obicei frecuşul cu care culmina felicitarea îl primea o singură ureche; de bucurie ar fi fost în stare să facă opt salturi mortale, în suită, dar mirosise el că trebuie să fie foarte liniştit. De aceea nu scoase nici un scâncet trădător, nici chiar atunci când îl văzu pe Tic dispărând ca o umbră în butoi. Auzi el un clipocit răutăcios, dar se grăbi să-l acopere printr-un mârâit antimotănesc.",,,,,,,,,,,,,,
"Cu apa până la glezne şi încă sub senzaţia de răceală pricinuită de stropii care se abătuseră asupra lui în momentul când atinsese cam energic fundul butoiului, Tic se opunea din răsputeri dârdâitului care-l ameninţa cu cotropirea. Altul în locul lui ar fi blestemat de mama focului şi ar fi părăsit ascunzişul. Dar el avea un sistem original de a scăpa de necazuri: în loc să se creadă persecutat de soartă şi urmărit de ghinion, îşi închipuia, dimpotrivă, că este cel mai răsfăţat copil al soartei şi aproape mereu încălţat în papucii norocului. Pentru a preface un necaz în bucurie îi trebuiau doar câteva clipe şi câteva întrebări. De pildă, în situaţia în care se afla: dacă ar fi plouat în ajun?… Dacă nu s-ar fi scos, cu două zile înainte, aproape toată apa din butoi pentru spălatul rufelor?… Dacă în loc de apă ar fi fost cenuşă, sau var, sau păcură?… Dacă în locul butoiului ar fi fost lada de gunoi?… Încetul cu încetul nu-şi simţi picioarele în apă, iar dârdâitul îl părăsi. Era şi timpul, pentru că la masa din faţa cerdacului reîncepea animaţia.",,,,,,,,,,,,,,
"— După cum vedeţi, eu mi-am făcut datoria, spuse Ionel plimbându-şi cam stingherit privirile pe cerul gol. La data la care ne-am înţeles am adus aparatele… Probabil că şi voi aţi rezolvat problema bărcii, care, în orice caz, n-a fost chiar atât de obositoare…",,,,,,,,,,,,,,
"Mariei nu-i plăcură deloc spusele şi mai ales tonul lui Ionel: trAha! Joacă teatru, scumpul nostru inventator… Îi arăt eu imediat!”, dar Dan îi dibui intenţia ascuţită şi se transformă imediat în pavăză:",,,,,,,,,,,,,,
"— Cum o s-o rezolvăm?… Victor a găsit soluţia cea mai bună, exact înainte de termen. Nu-i aşa?… Ei, acum să te văd, Ionel! Ia spune, cu ce este egală o barcă?… Nu-ţi mai nenoroci creierii, mamă dragă. Îţi spun eu: cu o plută!",,,,,,,,,,,,,,
Chipul lui Ionel se adumbri:,,,,,,,,,,,,,,
"— Cu pluta?! Dar ar fi o imprudenţă, o nesocotinţă, o… o… o prostie, pur şi simplu. Ori mergem echipaţi cum trebuie, ori renunţăm la expediţie. Dacă în loc de aparate tefefe aş fi adus şi eu nişte goarne?",,,,,,,,,,,,,,
"Privirile tuturor se îndreptară către Victor şi în ele se putea citi dorinţa unei replici tăioase. Dar Victor nu răspunse imediat. Până la un anumit punct era şi el cam de aceeaşi părere cu Ionel. Înţelesese de la bun început că pluta era o soluţie de ultim moment, poate nu chiar cea mai rea, dar care îi împingea pe calea unor riscuri, cel mai mare fiind acela de a împotmoli undeva expediţia. Greoaie, greu de manevrat, greu de oprit, greu de transportat prin locurile fără apă, greu de strecurat prin albii înguste, pluta putea să devină un chin pentru tineri, dar de aici până la a renunţa la o expediţie pregătită cu atâta migală şi dorită cu atâtea visuri era o cale imensă. Nu! Un asemenea gând nu trebuia să încolţească în mintea nimănui.",,,,,,,,,,,,,,
"— Dacă nu găsim altă soluţie mai bună, vom fi nevoiţi s-o încercăm pe asta, se hotărî Victor. Cine ştie?… Poate că acolo, la faţa locului, pluta va fi mai necesară decât o barcă.",,,,,,,,,,,,,,
— Victor are dreptate! Ţâşni Maria. La expediţie nici nu mă gândesc să renunţ. Mă duc singură dacă voi nu vreţi.,,,,,,,,,,,,,,
"Şi Dan, şi Ursu, şi Lucia răspunseră prin aceleaşi afirmaţii categorice. După o clipă de încruntare izbi şi Ionel aerul cu pumnul:",,,,,,,,,,,,,,
"— Să vă spun drept, şi eu m-am gândit la fel. Bineînţeles, nu vom fi atât de nesăbuiţi ca să ne băgăm în tot felul de capcane. De altminteri, nici cu o barcă n-am fi în cea mai deplină siguranţă…",,,,,,,,,,,,,,
"— Dacă ne-am lua după tine, nu pierdu prilejul Maria, nici cu un submarin n-am fi în siguranţă… Adică în cea mai deplină siguranţă. Nici cu un cuirasat…",,,,,,,,,,,,,,
"— Ce ştii tu despre submarine şi cuirasate? Se enervă Ionel. Vezi-ţi de hârţoagele tale cu inimi şi săgeţi… cu dor, şi amor, şi omor, şi…",,,,,,,,,,,,,,
"Cearta era gata. În ochi licăre ascuţite, ca nişte fulgere prevestind nişte trăsnete… Dar Lucia deveni fără voia ei un miraculos paratrăsnet:",,,,,,,,,,,,,,
"— Mi se pare că aveţi nevoie de o barcă, nu?… O barcă uşoară, frumoasă, încăpătoare…",,,,,,,,,,,,,,
"— Te-ai trezit şi tu, o privi Dan compătimitor.",,,,,,,,,,,,,,
"— Cred că ai dreptate. M-am trezit. Dar numai eu m-am trezit, pentru că voi toţi dormiţi… Şi cum mai dormiţi!… Totuşi, nu înţeleg cum de nu visaţi în somn… Barca lui Petrăchescu… Barca vânătorului…",,,,,,,,,,,,,,
"Cireşarii făcură nişte ochi ca la iarmaroc. Dan îşi arse o palmă peste frunte de răsună toată curtea şi-l făcu pe Tic să scoată, intrigat, capul afară din butoi. Noroc că nu-l zări nimeni.",,,,,,,,,,,,,,
"— Petrăchescu! Ţipă Dan. Sfântul Petrăchescu! Sfânta barcă de cauciuc a lui Petrăchescu! Santa Lucia!… Cum de nu ţi-a trecut ţie prin minte, nesfântule Dan!… Mamă dragă, ce barcă!… Uşoară ca un fulg şi încăpătoare ca un autobuz.",,,,,,,,,,,,,,
"Dar cine nu cunoştea barca lui Petrăchescu! Cine n-o admirase! Petrăchescu o găsise cu ani în urmă într-una din peregrinările lui cinegetice. Fusese ascunsă într-o colibă pustie, în timpul războiului, nu se ştie de cine, şi uitată acolo. O barcă într-adevăr sfântă, cum spusese Dan, adică exact ceea ce le trebuia cireşarilor pentru misterioasa lor expediţie.",,,,,,,,,,,,,,
"— Oare-o să ne-o dea Petrăchescu? Se auzi vocea timidă, dar foarte realistă a lui Ursu. Toată lumea zice că vânătorul e cam într-o ureche…",,,,,,,,,,,,,,
